date,count
20161005050313,2,016,465
20161005062139,2,016,577
20161005074225,2,016,632
20161006070125,2,019,043
20161006071457,2,019,053
20161006121305,2,019,416
20161006134908,2,019,667
20161007073855,2,022,265
20161007101042,2,022,363
20161007143812,2,022,733
20161007191302,2,023,201
20161007224850,2,023,607
20161008084406,2,025,320
20161008102318,2,025,417
20161008192915,2,026,974
20161009003621,2,027,921
20161009003623,2,027,921
20161009081401,2,028,786
20161009084731,2,028,820
20161009145850,2,029,375
20161010084804,2,036,253
20161010190229,2,037,885
20161011092508,2,039,875
20161011191208,2,041,178
20161012021758,2,042,754
20161013025252,2,046,443
20161013040515,2,046,443
20161013181414,2,049,115
20161014113900,2,051,222
20161014220918,2,052,446
20161016230954,2,058,363
20161018032929,2,061,562
20161021024450,2,061,562
20161024042619,2,074,531
20161025045756,2,075,799
20161027122108,2,086,500
20161028113241,2,087,669
20161030220136,2,090,860
20161102224328,2,093,723
20161102224329,2,093,723
20161106125403,2,097,461
20161106160326,2,097,592
20161106160329,2,097,592
20161107035922,2,097,848
20161108105807,2,099,242
20161108110557,2,099,254
20161109011507,2,101,181
20161109215241,2,108,607
20161110004544,2,109,063
20161110235419,2,112,076
20161111042323,2,113,166
20161111051043,2,113,308
20161111084820,2,113,872
20161112155613,2,118,340
20161114063358,2,121,750
20161114065303,2,121,767
20161114181010,2,122,481
20161114222437,2,122,740
20161115005528,2,122,812
20161115161104,2,124,258
20161115203610,2,124,690
20161116132718,2,126,644
20161117062327,2,129,276
20161117112946,2,129,911
20161118121634,2,132,521
20161118174954,2,132,856
20161118182029,2,132,925
20161119101940,2,134,105
20161121053256,2,137,137
20161121231201,2,137,939
20161122005326,2,138,027
20161123053431,2,140,037
20161123120501,2,140,325
20161124075437,2,141,004
20161124075438,2,141,004
20161124145221,2,141,196
20161125132129,2,141,922
20161126080505,2,142,138
20161127111508,2,142,972
20161127213912,2,143,123
20161128020843,2,142,461
20161128190233,2,142,172
20161128231836,2,142,251
20161128233004,2,142,248
20161129001522,2,142,230
20161129164101,2,142,529
20161130040832,2,143,035
20161202031326,2,144,695
20161202100938,2,144,911
20161204080343,2,146,024
20161205083640,2,146,761
20161206001739,2,146,903
20161206005728,2,146,919
20161206140927,2,147,099
20161208070057,2,149,229
20161208072653,2,149,242
20161209000519,2,149,831
20161209234602,2,150,330
20161210145212,2,150,691
20161210233357,2,150,926
20161211151040,2,151,157
20161212093955,2,151,204
20161213005913,2,151,532
20161214061600,2,151,911
20161214064505,2,151,919
20161215052746,2,152,445
20161215105543,2,152,532
20161215130851,2,152,403
20161216055334,2,152,875
20161216105722,2,152,960
20161217091709,2,153,600
20161217232202,2,153,970
20161219100214,2,154,799
20161219183646,2,155,046
20161220194620,2,155,706
20161220234800,2,155,833
20161222041218,2,156,815
20161223123210,2,157,607
20161224181903,2,158,572
20161225075301,2,158,919
20161226091024,2,159,696
20161228071020,2,161,126
20161229113029,2,161,888
20170103054953,2,163,644
20170103054955,2,163,644
20170104053352,2,170,195
20170105004439,2,171,967
20170106054109,2,173,324
20170106111141,2,173,522
20170107002536,2,174,247
20170108035253,2,174,200
20170110073911,2,175,838
20170111142435,2,176,115
20170111235833,2,176,634
20170111235834,2,176,634
20170112050537,2,176,885
20170112085849,2,176,991
20170112203748,2,177,367
20170112223344,2,177,412
20170113112448,2,177,316
20170114014847,2,177,446
20170114105311,2,177,628
20170114105408,2,177,634
20170114125204,2,177,643
20170115142114,2,178,249
20170115232412,2,178,622
20170116130223,2,178,938
20170117163133,2,179,193
20170118175205,2,180,152
20170120165753,2,180,423
20170121070008,2,181,205
20170122154245,2,182,833
20170123222720,2,184,438
20170125125620,2,185,398
20170126195659,2,186,978
20170127083910,2,188,291
20170129050639,2,192,428
20170129120630,2,192,842
20170131045142,2,197,225
20170202031848,2,200,241
20170203124746,2,201,949
20170203161632,2,202,197
20170204021305,2,202,455
20170204050622,2,202,540
20170204064405,2,202,595
20170205034538,2,203,879
20170205063855,2,204,101
20170207061211,2,207,180
20170209033027,2,209,206
20170213075345,2,214,045
20170216003011,2,216,293
20170216081737,2,216,667
20170216144753,2,216,925
20170216223338,2,217,392
20170217045242,2,218,341
20170218052713,2,220,294
20170222070913,2,223,594
20170223025547,2,224,076
20170224040225,2,224,814
20170226182906,2,227,012
20170303080007,2,230,650
20170304092430,2,231,527
20170305091425,2,232,872
20170306060120,2,234,139
20170307100650,2,235,009
20170307102550,2,235,019
20170308153318,2,236,425
20170308224651,2,236,425
20170310034517,2,237,275
20170314004214,2,239,688
20170315163146,2,240,794
20170316090009,2,241,263
20170316092017,2,241,259
20170317024105,2,241,738
20170318055039,2,242,606
20170322061254,2,245,362
20170323112250,2,246,277
20170324162029,2,246,825
20170329035559,2,249,787
20170331084818,2,250,625
20170406141921,2,253,338
20170409070821,2,254,410
20170409071734,2,254,411
20170409095537,2,254,442
20170411150550,2,255,114
